,Old_WScore,Position_Weight,SCScore,Words
164,50268.48536489152,0.013700607919673334,688.7088087002159,implement
199,48060.93243918473,0.014260628589663791,685.3791071881377,detect
284,45190.00657462196,0.015049524964625026,680.0881320963423,cooper
33,73373.95555555554,0.009243023952144738,678.1972286636033,deep-pipelin-multipl
225,46825.615621301775,0.014139480274564062,662.0898684217152,pipelin-processor
421,42687.609364548494,0.01541597416951971,658.0710833224273,predict-branch-direct
16,76590.82863247862,0.008528419587939122,653.1987231657191,control
283,45190.00657462196,0.0144277957480551,651.9921847119128,laboratori
296,45190.00657462196,0.014232059787996644,643.1468753899812,aerospac
37,72461.72820512821,0.008725151819214932,632.2395796724323,significantli
71,62651.11014492753,0.010074688413411293,631.1904134644561,proof
75,62321.934731934736,0.010006765752563585,623.6410021090276,pipelin-instruct-fetch
295,45190.00657462196,0.01367615129699463,618.0253670267119,iclass
531,35132.15856410257,0.017565485362095533,617.1134169965628,mode
286,45190.00657462196,0.013500595216622776,610.0919866004931,offic
293,45190.00657462196,0.013329596063409013,602.3645337425083,naval
227,46766.27289940828,0.012660856540593398,592.1010721176491,branch-delay
524,35625.137230769236,0.016541865214431586,589.3062183170132,steadi
93,58127.86622073579,0.010131022307150118,588.8947093493122,order
38,72150.07202797203,0.008152587077001755,588.2097448199905,redirect-instruct-fetch
167,49881.847416173565,0.011787066371445665,587.9606462247632,larg
215,47310.56343366778,0.012405347912291802,586.9039993211995,import
525,35625.137230769236,0.016405517610820944,584.4488162272976,suppli
62,65298.25897435898,0.008807214533609744,575.0957754583873,refil
86,59445.90467571643,0.009636883887546806,572.873280950055,delay-branch-squash
34,73191.74908424907,0.0077759872847889145,569.1381102305814,copi
42,70853.06358974359,0.0079390399993419,562.5053059148895,delay
47,69742.38603988604,0.007933524829517882,553.3029513172572,suggest
35,73062.23076923077,0.007544286040514875,551.2023676811841,includ
81,61040.30085470086,0.009009356827329824,549.9338512475657,refer
183,48538.14871794872,0.011256184104244183,546.3543380484147,reduc
125,53228.38009049773,0.009828833110478115,523.1728646505982,rate
41,71529.68687782806,0.007172431210291698,513.0417586249265,frequenc
437,41566.6867335563,0.01232806555458004,512.4368389379746,branch-pipelin-processor
193,48274.07353057199,0.010557619752971469,509.659312262764,architectur
171,49742.17120315582,0.010192841053866019,507.0140447479587,instruct-issu
55,67212.191902834,0.007441548900085643,500.16281272687957,ensur
29,73935.58153846153,0.006750866571766948,499.12924587214945,instruct-sequenc-effici
20,75369.18272604588,0.006505427512697345,490.30875491553235,deriv
23,75062.2334841629,0.006435614291960535,483.07158259715743,profil
49,69186.28904428905,0.006948643005751663,480.750823461512,condit
3,80543.56564102565,0.005953476150041697,479.5141970831641,dynam
138,51989.35897435896,0.009011288799461791,468.4911282168393,andor
14,76632.32193732192,0.006111096136447152,468.3074865181423,benchmark
94,58127.15384615384,0.007861518753485779,456.9677100482914,fill-branch-slot
36,72785.75808249721,0.006219244896957212,452.6724545257329,sequenc
54,67707.3641025641,0.006619044159808257,448.1580329390881,branch-predict-accuraci
222,46985.98837606838,0.00937901202840281,440.68215014554,compil-assist
207,47867.36844181459,0.009151519000831762,438.0591318150809,decis
50,69163.14807692307,0.006290079107383658,435.04167271953605,extens
1,83426.95811965811,0.005199800798598376,433.80356345523154,note
51,69095.93504273504,0.005817554680093958,401.96938028333136,dynam-instruct
170,49801.45646285338,0.008009894700746797,398.9044222112816,number
61,65602.00828402367,0.006078639673626124,398.7709702248159,aris
148,51384.45128205128,0.007665570439293067,393.89113078698705,studi
120,53840.452488687784,0.007231403993788398,389.34206315407135,condit-branch
626,30334.274693422518,0.012735505781515322,386.3223307361564,earli
184,48504.111610782384,0.007958246418457297,386.0076725069619,high
166,50138.15512820513,0.0076030927835051545,381.20504543351836,cover
123,53548.212587412585,0.0071009247807885135,380.24182972888946,prove
233,46629.47197896121,0.008043185606435889,375.04949785688643,logic
97,57422.71410256409,0.00652650271812835,374.76949967269167,context-switch
303,44744.20313390312,0.0083177965238299,372.17317728871825,hennessi
