queri	visit	3
queri	coverag	1
queri	predict	2
queri	dmoz	1
queri	type	2
queri	sort	1
queri	peopl	1
queri	relat	8
queri	yahoo	2
queri	high	1
queri	retriev	4
queri	metrix	1
queri	work	2
queri	approxim-algorithm	3
queri	fit-model	1
queri	visit-respons-url	2
queri	claim	1
queri	process	1
queri	socal	4
queri	topic	4
queri	hilton	2
queri	explor	1
queri	dress	2
queri	tediou	1
queri	multipl	2
queri	american	2
queri	hypertens	2
queri	simpl	6
queri	chri	2
queri	resourc	3
queri	outlier	2
queri	njtrainwarren	2
queri	data	13
queri	essenti	1
queri	outlink	1
queri	inform	8
queri	maintain	1
queri	combin	3
queri	routin	2
queri	move	1
queri	truran	2
queri	paper	1
queri	hierarchi	1
queri	flexibl	2
queri	paramet	5
queri	blake	2
queri	directli	1
queri	web-page-url	2
queri	engin-result	1
queri	return	4
queri	greater	1
queri	addit	4
queri	jame	2
queri	unobserv	1
queri	relev-page	2
queri	form-queri-cluster	3
queri	introduct	1
queri	term	3
queri	found	2
queri	weddingworldnethtm	2
queri	mean	2
queri	societi	2
queri	intellig	2
queri	list	4
queri	hard	2
queri	spider	1
queri	expect	1
queri	extract	3
queri	merg	3
queri	queri-infocom	1
queri	search-session-necessarili	1
queri	tradit	3
queri	research	3
queri	categori	1
queri	lowtraff	1
queri	msncom	1
queri	cluster-day	1
queri	navig	3
queri	standard	1
queri	base	3
queri	likelihood	2
queri	basi	1
queri	turn	3
queri	place	1
queri	assign	3
queri	number	4
queri	koshman	2
queri	submit	2
queri	stochast-approach-linkstructur	2
queri	miss	1
queri	size	1
queri	associ	2
queri	system	2
queri	termin	1
queri	scheme	2
queri	final	2
queri	relev-weight	5
queri	tool	1
queri	netrat	1
queri	part	2
queri	pars	1
queri	search-session-led	2
queri	helen	2
queri	relat-search	1
queri	lucent	2
queri	kind	4
queri	target	1
queri	provid	1
queri	richer	1
queri	structur	3
queri	posit	2
queri	njtransit	2
queri	fashion	1
queri	comput	1
queri	mine	2
queri	seed	1
queri	increment	2
queri	mislead	2
queri	engin	3
queri	sherri	2
queri	note	1
queri	analysi	2
queri	simplifi	2
queri	begin	3
queri	distribut	1
queri	preliminari	2
queri	queri-cluster	2
queri	reach	1
queri	mixtur	2
queri	discov	1
queri	borrow-strength	3
queri	clear	1
queri	request	3
queri	determin	3
queri	pattern	2
queri	wwwmartasbridalcom	2
queri	text	2
queri	weddingworldnet	2
queri	queri-url	3
queri	session	8
queri	tend	1
queri	find	2
queri	locat	1
queri	list-search-engin	1
queri	lucent-proxi	1
queri	hope	1
queri	yahoocom	1
queri	statist-mixtur-model	1
queri	mixtur-formul	3
queri	page-link	1
queri	yield	1
queri	singapor	2
queri	basicem	2
queri	statist	3
queri	expectationmaxim	1
queri	deadlin	1
queri	result	5
queri	directori-label	2
queri	user-visit	1
queri	databas	4
queri	label	1
queri	orlean	2
queri	figur	7
queri	bridaldress	4
queri	searchrel	2
queri	approach	3
queri	extend	2
queri	prior	3
queri	group	6
queri	come	1
queri	popul	1
queri	annual	2
queri	display	3
queri	april	2
queri	context	3
queri	improv	3
queri	simpli	1
queri	cleaner	1
queri	kth-compon	1
queri	assum	2
queri	evalu	3
queri	workshop	2
queri	louisiana	2
queri	strategi	2
queri	presenc	2
queri	imag	2
queri	search	8
queri	present	1
queri	search-session-initi	2
queri	case	1
queri	queri-disjoint-set	1
queri	label-data	3
queri	haddad	2
queri	defin	2
queri	calcul	1
queri	respons-queri	2
queri	method-incorpor-exist	2
queri	searchaolcom	1
queri	site	1
queri	disjoint-set-similar	1
queri	cluster	17
queri	kenya	2
queri	modifi-rank	1
queri	scienc	2
queri	develop	2
queri	perform	2
queri	media	1
queri	make	1
queri	flowergirldress	4
queri	web-page-visit	2
queri	acm-intern	2
queri	posit-desir-url	1
queri	largest	1
queri	document	1
queri	complet	2
queri	effect	4
queri	moment	2
queri	user	11
queri	search-engin-allow	1
queri	chang	2
queri	techniqu	2
queri	task	2
queri	proceed	2
queri	mention	2
queri	exampl	2
queri	theseu	1
queri	queri-term	4
queri	model	6
queri	data-structur	2
queri	identifi	3
queri	obtain	1
queri	speed	1
queri	hatem	2
queri	except	1
queri	find-maximum-likelihood	1
queri	ashman	2
queri	incorpor	2
queri	userlevel	2
queri	formal	1
queri	search-session-length	1
queri	wwwdmozcom	1
queri	resolv	1
queri	collect	3
queri	set-url	1
queri	popular	2
queri	output	2
queri	manag	2
queri	refin	2
queri	deal	1
queri	captur	6
queri	acknowledg	1
queri	visibl	1
queri	intern	1
queri	sampl	1
queri	scale	3
queri	newjerseytrain	2
queri	overlap	1
queri	estim	1
queri	larg	4
queri	select	1
queri	condit	1
queri	leader	1
queri	rank	2
queri	journal	2
queri	usag	2
queri	confer	2
queri	januari	1
queri	comparison	1
queri	birch	1
queri	slightli	2
queri	page	5
queri	produc	1
queri	gamma	2
queri	effici	1
queri	automat	2
queri	dataset	2
queri	relev-url	3
queri	search-session-queri	1
queri	wwwldsweddingscombrid	1
queri	mark	2
queri	weight	4
queri	suffici	1
queri	area	1
queri	frustrat	1
queri	select-user-search	4
queri	reli	1
queri	includ	1
queri	fraction	1
queri	wwwbestbuybridalcom	2
queri	interest	2
queri	form	4
queri	offer	1
queri	forc	2
queri	spuriou	2
queri	line	1
queri	categor	3
queri	conclus	2
queri	count	4
queri	made	1
queri	analysi-salsa-tkc	2
queri	pseudocod	2
queri	limit	3
queri	gould	2
queri	queri-relat	1
queri	similar	4
queri	tanzania	2
queri	creat	1
queri	search-engin-transact	1
queri	reexamin	2
queri	repres	1
queri	novemb	2
queri	exist	2
queri	search-session-comput	1
queri	proport	1
queri	probabl	3
queri	denot	4
queri	googl	2
queri	guidanc	1
queri	bridesmaiddress	4
queri	proxi	1
queri	test	1
queri	node	2
queri	draw	2
queri	coactiv	2
queri	subdivid	1
queri	shown	1
queri	page-world-wide	2
queri	wwwpriscillaofbostoncom	2
queri	reduc	3
queri	algorithm	8
queri	directori	3
queri	data-cluster	1
queri	rule	1
queri	time	6
queri	wwwgooglecom	2
consum	pattern-user	1
consum	brows	1
consum	frustrat	2
consum	task	1
consum	narrow	1
consum	return	1
consum	time	2
consum	search	1
consum	routin	1
consum	resourc	1
consum	tradit	1
consum	paper	1
consum	propos	1
consum	observ	1
consum	list	2
consum	googl	1
consum	navig	2
focus	abbrevi	1
focus	primari	2
focus	user	1
focus	collect	1
focus	construct	2
focus	search-session-search	1
focus	scale	1
focus	time	1
focus	search	1
focus	navig-data-improv	1
focus	proxi-log	2
focus	queri-post	1
focus	engin	1
focus	search-engin-servic	1
focus	larger	1
focus	sourc	2
focus	session	1
focus	data	2
focus	repeat	1
month	train	1
month	outofd	1
month	depend	2
month	rang	2
month	approxim-algorithm	1
month	case	1
month	sens	1
month	test	6
month	train-data	1
month	figur-present	2
month	byproduct	1
month	cluster	2
month	length	2
month	set-url	1
month	obviou	1
month	data	6
month	effect	1
month	experiment	1
month	differ	2
month	result	2
month	figur	2
month	percent-match	2
month	model	1
month	shorter	1
month	provid	1
month	percentag-queri	2
month	strictli	1
month	refit	1
month	visit	2
month	period	1
month	height	2
month	found	2
month	search-session-length	1
month	importantli	1
clickthrough-data	disjoint-set-similar	2
clickthrough-data	discov	2
clickthrough-data	repres	1
clickthrough-data	select	1
clickthrough-data	queri-url	1
clickthrough-data	content	1
clickthrough-data	categor	1
clickthrough-data	graph	1
clickthrough-data	user	1
clickthrough-data	ignor	1
clickthrough-data	queri-disjoint-set	2
clickthrough-data	approach	1
clickthrough-data	creat	1
clickthrough-data	node	1
clickthrough-data	document	1
clickthrough-data	similar	2
abil	reach	1
abil	hard	2
abil	merg	1
abil	proxi	1
abil	node	1
abil	condit	1
abil	iter	1
abil	cluster	2
abil	algorithm	2
abil	data	1
abil	inform	2
abil	system	1
abil	termin	1
abil	reli	1
abil	prior	2
abil	richer	1
abil	forc	2
abil	fashion	1
abil	addit	1
abil	incorpor	2
abil	limit	2
abil	similar	2
search-session-appli	structur	2
search-session-appli	collect	1
search-session-appli	list	1
search-session-appli	collect-url	2
search-session-appli	simpli	1
search-session-appli	queri-term	2
search-session-appli	poisson	2
search-session-appli	form-queri-cluster	1
search-session-appli	extend	1
search-session-appli	flexibl	1
search-session-appli	kind	2
search-session-appli	term	1
search-session-appli	sort	1
search-session-appli	model	1
consider	present	1
consider	search-session-necessarili	2
consider	session	1
consider	defin	1
consider	explicitli	1
consider	subsequ	1
